restaurantName,category,address,phone,hours,status,website,mapsLocation
R&B Tea Riverside,· Bubble tea store,1889 University Ave #105 , (951) 405-8843,· Opens 11 AM,Closed,https://order.snackpass.co/RandB-Tea-Riverside-6231ef31c8e36c016ea5f38f,"https://www.google.com/maps/dir//R%26B+Tea+Riverside,+1889+University+Ave+%23105,+Riverside,+CA+92507/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcaf91a7cff873:0x19609481c20321a4?sa=X&ved=1t:57443&ictx=111"
Sleepy Kitea,· Bubble tea store,1725 Spruce St STE 103 , (951) 777-1334,· Opens 11 AM,Closed,https://order.online/business/sleepy-kitea-11191595,"https://www.google.com/maps/dir//Sleepy+Kitea,+1725+Spruce+St+STE+103,+Riverside,+CA+92507/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcaf1d9890d9d7:0x8183694098fad8?sa=X&ved=1t:57443&ictx=111"
Sharetea Boba & Coffee Shop Riverside,· Bubble tea store,10920 Magnolia Ave STE 103 , (951) 406-5165,· Opens 11 AM,Closed,,"https://www.google.com/maps/dir//Sharetea+Boba+%26+Coffee+Shop+Riverside,+10920+Magnolia+Ave+STE+103,+Riverside,+CA+92505/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcb7dbdf4543df:0x95ca44848b8544ef?sa=X&ved=1t:57443&ictx=111"
Boba Station,· Bubble tea store,1299 Galleria At Tyler #6508 , (909) 780-6508,· Opens 11 AM,Closed,https://www.bobastationus.com/,"https://www.google.com/maps/dir//Boba+Station,+1299+Galleria+At+Tyler+%236508,+Riverside,+CA+92503/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcb7ec0513ba19:0xee2f8c70aa8d32d7?sa=X&ved=1t:57443&ictx=111"
Boba Tea House,· Bubble tea store,767 W Blaine St , (951) 784-7148,· Opens 11 AM,Closed,http://www.bobateahouse.net/,"https://www.google.com/maps/dir//Boba+Tea+House,+767+W+Blaine+St,+Riverside,+CA+92507/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcae429c639ce1:0x5abacd0380165d49?sa=X&ved=1t:57443&ictx=111"
Cafe Bottega,· Bubble tea store,6161 Van Buren Boulevard STE 102 , (951) 373-8028,· Opens 7 AM,Closed,http://www.cafebottega.com/,"https://www.google.com/maps/dir//Cafe+Bottega,+6161+Van+Buren+Boulevard+STE+102,+Riverside,+CA+92503/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcb1bd02bb6c89:0x26105dfb68c1ce33?sa=X&ved=1t:57443&ictx=111"
Lollicup Boba & Tea | UCR,· Bubble tea store,755 W Linden St B-1300 , (951) 827-3085,· Opens 10:30 AM,Closed,https://lollicup.com/,"https://www.google.com/maps/dir//Lollicup+Boba+%26+Tea+%7C+UCR,+755+W+Linden+St+B-1300,+Riverside,+CA+92507/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcafc0345b767d:0x241ecc0a1d3237b4?sa=X&ved=1t:57443&ictx=111"
Bobaloca,· Bubble tea store,19009 Van Buren Boulevard STE 122 , (951) 789-8646,· Opens 12 PM,Closed,https://order.online/store/bobaloca-riverside-23389446/,"https://www.google.com/maps/dir//Bobaloca,+19009+Van+Buren+Boulevard+STE+122,+Riverside,+CA+92508/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dca51bbec72271:0x4fd0f75de0f303d6?sa=X&ved=1t:57443&ictx=111"
U S Donuts,· Donut shop,3720 Sunnyside Dr , (951) 823-0797,· Opens 4 AM,Open,,"https://www.google.com/maps/dir//U+S+Donuts,+3720+Sunnyside+Dr,+Riverside,+CA+92506/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcb1f0d5972245:0x8a88a275e208ced2?sa=X&ved=1t:57443&ictx=111"
TRA BOBA & SNACK,· Bubble tea store,3740 Iowa Ave STE 103 , (951) 742-7002,· Opens 12 PM,Closed,https://order.online/store/tra-boba-&-snack-riverside-24938605/?hideModal=true&pickup=true,"https://www.google.com/maps/dir//TRA+BOBA+%26+SNACK,+3740+Iowa+Ave+STE+103,+Riverside,+CA+92507/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcaf777d4aebd5:0x15b107c461f5179a?sa=X&ved=1t:57443&ictx=111"
